PRESSUREWINDSPEED,SPEED
1002,5
1004,2
1004,3
1005,6
1006,3
1007,3
1008,3
1009,6
1009,5
1010,6
1010,6
1010,3
1011,5
1011,2
1011,2
1012,2
1013,5
1014,6
1014,2
1015,3
1015,4
1016,3
1016,6
1016,2
1017,2
1017,2
1017,3
1018,2
1019,4
1019,4
1019,2
1019,3
1019,3
1019,2
1019,2
1018,3
1019,2
1018,3
1018,3
1018,3
1018,5
1017,2
1016,4
1015,3
1014,4
1013,6
1013,6
1012,5
1012,3
1013,4
1014,4
1015,3
1017,2
1018,2
1018,2
1019,1
1020,1
1020,1
1021,2
1021,1
1022,2
1022,1
1022,1
1022,1
1023,1
1023,1
1023,1
1023,1
1022,1
1022,1
1022,2
1021,2
1021,1
1020,1
1020,0
1019,2
1020,1
1020,1
1021,1
1021,2
1020,1
1021,1
1021,1
1020,1
1020,1
1019,1
1020,0
1019,0
1019,1
1019,1
1019,5
1018,6
1017,2
1017,3
1016,3
1016,3
1015,5
1015,4
1015,5
1015,5
1016,7
1016,3
1017,3
1017,4
1018,3
1018,2
1019,5
1020,3
1020,1
1021,8
1022,4
1024,4
1024,3
1025,7
1025,3
1025,5
1025,3
1024,3
1024,2
1023,1
1023,1
1024,0
1023,0
1023,1
1023,2
1023,1
1022,1
1023,2
1022,1
1021,1
1019,1
1018,1
1018,1
1017,0
1017,1
1018,3
1018,2
1019,1
1018,6
1017,6
1017,3
1017,3
1018,3
1018,5
1019,4
1020,3
1021,2
1022,5
1023,2
1023,4
1023,1
1025,2
1025,2
1026,1
1025,1
1025,1
1025,1
1026,1
1026,1
1026,1
1027,2
1027,3
1027,3
1026,3
1026,3
1025,2
1024,2
1023,2
1023,4
1022,3
1022,2
1022,2
1022,3
1023,4
1022,6
1022,3
1022,4
1022,5
1021,3
1021,3
1021,6
1025,4
1020,5
1020,5
1020,4
1019,4
1019,4
1019,3
1019,6
1018,1
1019,2
1019,2
1018,2
1018,1
1018,1
1017,1
1017,2
1017,4
1016,3
1015,6
1014,3
1014,6
1013,4
1013,6
1013,7
1012,2
1012,6
1013,6
1014,3
1014,4
1015,3
1015,4
1016,3
1016,2
1017,4
1017,5
1016,4
1016,2
1016,3
1016,3
1015,2
1015,3
1015,1
1014,3
1014,3
1013,3
1012,3
1012,3
1012,3
1016,3
1011,2
1011,4
1011,4
1012,2
1011,6
1012,8
1011,8
1011,10
1012,4
1012,4
1012,4
1013,2
1014,4
1016,2
1017,1
1019,2
1020,4
1020,4
1023,2
1023,2
1024,2
1024,2
1025,2
1026,1
1026,2
1027,3
1027,1
1027,2
1027,2
1027,2
1026,1
1026,1
1025,1
1025,1
1025,1
1024,0
1024,0
1024,0
1024,2
1024,2
1023,0
1022,1
1022,1
1021,1
1020,0
1019,0
1019,2
1018,1
1018,1
1017,2
1017,2
1017,2
1017,4
1016,5
1015,3
1014,2
1013,1
1013,3
1011,5
1010,3
1010,3
1009,5
1009,4
1009,5
1008,4
1008,5
1007,8
1007,8
1006,6
1006,6
1005,5
1005,3
1006,3
1007,4
1009,5
1012,2
1014,2
1015,2
1016,3
1016,2
1017,3
1018,4
1019,3
1019,3
1020,3
1021,2
1022,1
1022,1
1023,1
1023,1
1023,1
1024,1
1024,1
1024,1
1025,1
1025,0
1025,0
1025,0
1025,1
1025,1
1024,3
1024,4
1023,5
1021,2
1021,4
1020,5
1020,3
1019,1
1019,1
1019,2
1019,2
1019,1
1018,2
1017,2
1017,1
1017,2
1016,2
1016,1
1015,3
1015,1
1015,5
1014,6
1014,8
1014,10
1013,8
1013,9
1013,7
1012,5
1012,6
1012,4
1012,5
1011,8
1011,2
1011,1
1010,2
1010,2
1010,1
1009,2
1009,3
1008,7
1008,2
1007,5
1006,5
1011,4
1006,2
1007,9
1007,9
1007,6
1007,6
1007,7
1008,6
1007,5
1007,5
1006,5
1006,4
1006,2
1007,2
1007,4
1008,4
1007,4
1007,2
1007,5
1008,5
1008,3
1009,4
1009,1
1010,2
1011,3
1011,2
1012,3
1013,4
1013,4
1014,4
1015,3
1015,4
1015,3
1016,4
1017,5
1017,4
1018,4
1018,5
1019,2
1020,1
1020,1
1020,1
1020,1
1020,1
1020,2
1020,1
1020,1
1020,2
1020,2
1020,3
1020,3
1020,4
1019,4
1019,5
1018,5
1016,3
1015,2
1015,1
1014,2
1013,3
1013,4
1014,2
1014,4
1013,3
1012,1
1012,2
1012,3
1011,4
1011,4
1010,2
1010,4
1011,2
1010,2
1011,4
1010,4
1011,4
1012,4
1013,2
1013,5
1013,1
1013,2
1014,3
1014,4
1015,4
1015,4
1017,3
1017,3
1018,2
1019,3
1019,1
1019,2
1020,1
1020,1
1020,2
1020,2
1020,2
1021,1
1021,1
1021,2
1021,3
1021,1
1021,3
1021,2
1021,2
1020,2
1020,2
1019,3
1019,2
1020,2
1019,4
1018,1
1018,1
1017,1
1017,1
1016,2
1016,3
1015,3
1014,4
1013,3
1013,3
1013,3
1012,4
1012,2
1011,3
1010,1
1009,4
1009,4
1009,4
1009,8
1008,5
1008,4
1008,4
1009,1
1011,1
1011,1
1012,1
1012,2
1013,2
1014,1
1014,1
1015,1
1015,2
1015,3
1017,3
1017,2
1019,1
1019,3
1021,3
1021,3
1022,4
1022,3
1023,3
1023,3
1024,4
1025,4
1025,5
1025,1
1026,3
1026,2
1027,2
1027,2
1027,1
1028,2
1027,1
1027,2
1027,2
1026,2
1027,4
1027,3
1027,2
1027,2
1027,2
1027,5
1027,3
1026,3
1026,3
1025,3
1025,4
1024,2
1023,2
1023,1
1023,2
1023,2
1024,4
1023,1
1022,2
1021,1
1021,1
1019,3
1018,5
1017,4
1016,5
1016,4
1016,3
1016,5
1016,5
1016,4
1016,3
1016,4
1016,3
1016,1
1016,3
1015,5
1016,4
1016,5
1016,3
1017,4
1018,2
1018,3
1019,2
1019,1
1020,3
1020,2
1020,1
1021,1
1021,1
1021,2
1022,2
1022,1
1024,3
1024,3
1024,3
1024,4
1025,1
1024,3
1024,4
1024,5
1025,6
1025,5
1026,4
1026,5
1028,4
1028,2
1028,1
1028,1
1029,3
1029,1
1029,1
1029,1
1029,1
1029,1
1029,1
1030,0
1029,2
1029,1
1030,2
1029,2
1028,2
1027,3
1026,2
1026,1
1026,1
1025,2
1025,2
1025,0
1025,1
1025,2
1024,3
1024,2
1024,2
1023,2
1024,2
1023,2
1023,3
1023,1
1023,3
1024,4
1024,2
1024,3
1025,1
1025,1
1025,1
1025,1
1025,1
1025,2
1025,1
1025,1
1025,1
1026,2
1026,3
1027,3
1027,2
1028,3
1028,2
1029,1
1029,1
1029,1
1029,1
1029,1
1029,1
1029,2
1029,3
1029,5
1029,2
1028,2
1027,3
1027,3
1026,4
1026,5
1026,4
1026,4
1025,3
1025,3
1026,3
1026,2
1026,1
1027,0
1027,0
1026,0
1026,0
1025,2
1025,0
1025,1
1026,1
1026,1
1025,1
1025,1
1025,2
1025,2
1022,3
1022,3
1021,3
1020,2
1019,2
1019,1
1019,1
1019,1
1019,0
1018,0
1018,0
1018,1
1018,1
1017,1
1017,1
1017,1
1017,1
1017,1
1017,2
1016,3
1017,5
1016,6
1016,5
1015,5
1015,3
1015,2
1015,1
1015,3
1015,3
1014,1
1014,1
1014,1
1015,1
1015,3
1014,2
1015,4
1015,3
1014,4
1014,3
1014,3
1014,2
1014,5
1014,4
1014,5
1014,6
1014,3
1014,1
1014,6
1014,4
1014,4
1013,2
1013,1
1013,1
1012,1
1012,3
1011,3
1009,1
1008,2
1008,1
1007,1
1007,2
1008,2
1008,3
1008,3
1008,4
1008,1
1008,2
1008,2
1008,3
1008,3
1008,2
1007,2
1006,1
1005,2
1004,2
1003,2
1001,4
999,3
996,2
993,1
992,2
992,5
991,1
990,2
989,2
989,2
989,3
989,4
988,4
988,5
991,13
992,7
994,13
995,10
996,6
999,9
999,5
1000,5
1000,12
1001,5
1003,6
1005,8
1005,4
1006,2
1007,3
1007,4
1008,2
1008,3
1009,2
1010,2
1010,2
1011,1
1011,1
1012,2
1013,2
1014,2
1015,4
1016,5
1016,2
1016,4
1017,2
1017,3
1017,1
1017,4
1018,3
1018,2
1019,3
1019,1
1020,1
1021,1
1021,1
1021,1
1021,2
1021,1
1021,2
1021,1
1021,2
1021,1
1020,4
1020,4
1020,4
1019,4
1019,4
1018,2
1017,3
1016,3
1015,3
1014,2
1014,1
1015,3
1014,2
1014,2
1014,2
1015,2
1015,4
1016,3
1017,2
1017,2
1018,5
1018,8
1019,7
1019,5
1019,3
1019,6
1020,5
1020,4
1021,8
1021,4
1021,5
1021,5
1022,6
1022,3
1022,3
1022,3
1022,3
1022,1
1022,1
1022,1
1022,1
1021,1
1020,1
1020,1
1019,1
1018,1
1017,1
1016,1
1016,1
1015,2
1014,1
1013,2
1012,3
1011,2
1011,2
1011,6
1009,5
1009,6
1009,7
1008,6
1007,4
1007,4
1006,3
1006,2
1005,2
1004,1
1004,2
1004,4
1004,3
1005,5
1006,3
1007,3
1008,3
1008,3
1008,3
1008,5
1008,4
1007,4
1007,3
1005,5
1006,5
1007,1
1007,2
1007,3
1007,2
1008,1
1008,3
1007,3
1008,1
1014,1
1013,1
1022,1
1022,1
1022,1
1022,1
1023,1
1010,2
1010,6
1010,7
1011,3
1011,6
1012,3
1012,6
1013,3
1013,6
1014,3
1014,2
1015,2
1016,3
1017,2
1017,2
1018,3
1018,1
1019,3
1019,5
1019,2
1020,4
1020,1
1021,3
1021,3
1022,4
1022,3
1023,4
1023,2
1023,5
1023,5
1023,4
1023,5
1023,6
1023,3
1023,4
1024,5
1024,2
1025,1
1025,3
1026,2
1026,2
1026,3
1026,3
1026,1
1026,3
1026,1
1026,2
1026,1
1026,1
1026,1
1026,1
1025,2
1025,5
1024,2
1023,3
1022,4
1021,2
1020,4
1020,3
1019,3
1018,2
1018,2
1018,1
1018,1
1017,1
1017,2
1016,2
1015,1
1014,2
1014,1
1013,2
1013,10
1012,1
1011,4
1011,5
1011,7
1009,5
1008,6
1008,5
1008,8
1007,6
1007,3
1007,4
1006,1
1006,1
1007,1
1007,4
1010,6
1010,3
1011,2
1011,1
1012,3
1012,4
1011,2
1012,3
1013,5
1013,3
1013,3
1013,4
1013,4
1013,3
1013,4
1013,1
1012,3
1012,4
1012,3
1012,3
1012,2
1012,3
1012,4
1013,3
1014,3
1013,2
1013,2
1013,1
1013,3
1013,3
1014,3
1014,1
1015,3
1015,1
1016,4
1016,6
1016,2
1016,3
1017,3
1017,1
1017,2
1017,4
1017,4
1016,3
1017,3
1017,2
1018,0
1018,1
1018,3
1019,1
1018,5
1018,2
1018,2
1017,1
1017,2
1017,3
1018,4
1017,3
1018,5
1018,5
1019,3
1019,3
1019,2
1019,2
1018,2
1018,2
1018,1
1018,1
1018,4
1018,2
1019,4
1019,3
1019,2
1019,2
1020,3
1020,1
1021,1
1021,1
1022,1
1022,1
1023,1
1023,1
1024,3
1024,3
1025,5
1026,4
1025,2
1026,5
1026,4
1026,2
1026,2
1027,6
1027,6
1028,4
1029,3
1030,2
1030,1
1030,1
1030,0
1030,0
1030,0
1029,2
1030,1
1029,2
1029,1
1029,1
1029,1
1028,2
1026,2
1025,3
1023,4
1022,2
1021,2
1019,5
1019,6
1018,6
1017,7
1016,5
1015,8
1014,8
1014,6
1013,8
1012,4
1011,2
1009,8
1008,7
1007,2
1007,1
1009,10
1011,3
1012,2
1012,4
1012,6
1012,3
1013,7
1014,6
1014,4
1014,8
1015,8
1015,4
1015,5
1016,2
1016,1
1016,1
1016,1
1015,1
1015,0
1015,0
1015,1
1015,2
1014,1
1014,1
1014,3
1014,1
1014,1
1013,6
1013,7
1013,6
1013,5
1012,4
1013,4
1012,4
1012,3
1012,2
1012,2
1012,2
1012,1
1012,1
1011,2
1011,2
1010,2
1009,1
1008,4
1008,5
1007,4
1006,4
1006,4
1005,5
1005,6
1005,7
1005,7
1005,6
1005,5
1005,2
1007,6
1008,5
1011,5
1011,4
1012,1
1012,1
1014,2
1015,1
1016,1
1016,1
1016,1
1016,1
1017,2
1017,2
1016,1
1016,1
1017,1
1017,2
1015,5
1015,3
1015,3
1015,2
1015,2
1014,3
1013,4
1012,3
1011,3
1011,3
1010,3
1011,3
1011,2
1011,3
1012,4
1012,5
1012,2
1013,3
1012,2
1012,3
1011,2
1011,3
1012,2
1012,2
1012,3
1013,3
1013,3
1014,3
1014,3
1014,2
1014,5
1014,4
1014,7
1015,3
1016,5
1016,5
1017,2
1018,3
1019,2
1019,2
1020,4
1020,2
1020,2
1020,2
1020,2
1021,2
1020,3
1021,1
1021,2
1021,4
1021,4
1020,2
1020,1
1020,5
1020,5
1020,5
1020,2
1020,1
1021,5
1021,4
1022,3
1023,3
1024,1
1024,2
1025,1
1025,1
1025,2
1026,1
1026,1
1026,1
1027,1
1028,1
1028,2
1028,1
1028,1
1028,3
1028,2
1028,4
1028,5
1027,3
1027,3
1026,3
1026,3
1026,2
1026,0
1027,2
1027,3
1027,2
1027,2
1026,1
1027,1
1027,1
1026,0
1026,0
1026,1
1026,1
1027,1
1026,1
1026,3
1025,2
1024,2
1024,1
1023,1
1023,4
1022,4
1022,1
1022,2
1022,2
1022,1
1023,4
1023,2
1022,2
1022,1
1022,2
1022,1
1023,2
1023,2
1024,3
1024,2
1025,3
1026,3
1027,6
1027,4
1028,2
1028,3
1028,4
1028,4
1027,4
1027,5
1027,4
1027,5
1027,4
1028,3
1029,1
1028,2
1029,1
1028,0
1028,0
1028,0
1027,1
1027,1
1026,1
1026,2
1025,1
1026,1
1026,1
1025,1
1024,1
1024,1
1024,1
1023,1
1023,4
1022,1
1023,1
1022,2
1022,2
1022,3
1022,3
1022,3
1022,2
1022,3
1022,2
1022,1
1022,1
1022,3
1022,2
1022,2
1023,4
1023,2
1023,2
1023,2
1023,1
1023,1
1022,1
1022,2
1022,2
1022,2
1022,1
1022,1
1022,2
1022,2
1023,2
1023,2
1023,2
1023,1
1022,1
1022,1
1022,3
1022,1
1022,1
1022,1
1022,1
1022,2
1022,2
1021,2
1020,3
1019,4
1020,5
1018,3
1017,5
1016,3
1016,4
1014,2
1014,1
1014,2
1014,1
1014,1
1014,1
1014,1
1013,1
1013,1
1013,1
1013,1
1013,1
1013,0
1013,2
1013,2
1012,3
1011,2
1010,4
1009,2
1008,3
1007,1
1007,3
1007,5
1007,3
1006,3
1006,3
1006,3
1007,2
1007,2
1008,3
1008,1
1009,3
1010,1
1011,1
1011,1
1012,1
1012,2
1012,4
1013,4
1014,5
1014,3
1015,2
1016,4
1017,4
1017,4
1017,4
1017,3
1017,2
1018,2
1018,4
1018,4
1019,3
1019,1
1020,3
1020,1
1021,2
1021,1
1021,2
1021,1
1021,1
1021,1
1021,1
1021,3
1021,3
1021,3
1021,1
1020,2
1021,4
1020,3
1019,4
1019,3
1019,3
1019,3
1019,5
1021,6
1022,4
1022,5
1022,3
1023,3
1023,3
1023,1
1023,2
1023,0
1023,2
1024,1
1024,2
1024,4
1024,1
1023,4
1023,5
1023,2
1022,1
1022,3
1021,5
1021,5
1021,3
1021,5
1021,4
1021,2
1022,3
1022,2
1022,4
1022,1
1022,1
1022,1
1022,0
1023,0
1023,1
1023,0
1023,0
1023,2
1022,1
1022,2
1021,3
1022,2
1020,3
1019,4
1018,3
1018,3
1018,4
1017,3
1018,4
1018,4
1019,3
1018,2
1018,3
1019,2
1018,0
1018,0
1018,0
1019,0
1018,0
1019,0
1019,1
1019,1
1018,3
1018,2
1017,3
1017,2
1017,2
1015,1
1014,1
1013,2
1013,2
1013,4
1013,3
1013,3
1014,2
1014,2
1014,3
1014,0
1014,0
1014,0
1014,0
1014,2
1014,0
1014,1
1014,0
1014,0
1014,2
1013,1
1013,2
1013,2
1011,2
1011,2
1011,3
1011,3
1010,2
1010,2
1010,2
1011,3
1012,4
1012,1
1013,1
1013,2
1013,1
1013,2
1012,2
1012,1
1012,1
1012,2
1012,4
1011,4
1012,3
1014,6
1015,3
1016,4
1016,3
1017,3
1017,3
1017,3
1016,2
1017,2
1016,2
1016,2
1017,4
1017,1
1017,2
1017,2
1017,1
1017,1
1017,1
1017,1
1017,2
1017,2
1017,1
1017,3
1017,3
1017,3
1017,4
1016,4
1016,3
1016,2
1016,5
1016,3
1016,3
1016,4
1016,3
1016,3
1016,2
1016,2
1016,3
1016,2
1016,1
1016,3
1016,2
1016,1
1016,1
1016,2
1016,1
1016,1
1017,3
1017,3
1017,6
1017,3
1017,2
1017,1
1016,1
1016,3
1017,1
1017,2
1017,1
1017,2
1018,1
1018,1
1018,2
1018,2
1017,1
1018,1
1017,1
1017,1
1017,1
1018,1
1018,1
1018,1
1018,1
1018,1
1018,1
1018,1
1017,2
1017,2
1017,2
1016,2
1016,5
1016,2
1016,1
1017,2
1017,3
1018,2
1018,2
1018,2
1018,1
1017,0
1017,0
1017,0
1017,0
1017,1
1017,1
1017,2
1017,2
1016,1
1016,1
1015,2
1014,2
1014,1
1013,3
1012,3
1012,2
1012,2
1012,2
1011,2
1011,3
1010,4
1008,4
1008,2
1007,2
1007,3
1006,2
1006,3
1005,3
1004,3
1005,4
1006,3
1006,5
1006,5
1007,7
1007,8
1008,6
1009,4
1009,3
1011,5
1011,8
1013,2
1013,2
1013,2
1014,1
1015,2
1015,2
1016,1
1016,5
1017,2
1018,2
1018,4
1019,2
1019,1
1020,2
1021,1
1021,1
1021,3
1022,1
1022,3
1022,1
1022,1
1022,1
1022,3
1022,1
1022,1
1022,1
1023,1
1023,1
1023,1
1023,1
1022,1
1023,0
1022,0
1022,0
1022,0
1022,0
1022,1
1023,1
1023,1
1023,1
1022,2
1022,1
1022,2
1021,1
1020,1
1019,2
1019,1
1019,1
1019,0
1018,2
1019,1
1019,2
1019,1
1019,0
1019,0
1019,0
1019,0
1019,2
1019,1
1019,0
1020,0
1020,1
1020,0
1020,2
1020,2
1020,4
1020,2
1020,3
1019,1
1019,4
1018,4
1018,4
1018,3
1017,3
1018,3
1019,3
1019,2
1021,1
1020,3
1020,2
1020,3
1021,3
1021,2
1021,1
1022,2
1022,2
1023,2
1023,2
1023,2
1023,2
1023,1
1022,2
1022,3
1021,1
1021,2
1020,1
1020,3
1020,1
1020,2
1020,2
1021,3
1021,3
1022,0
1022,1
1022,0
1022,0
1022,0
1022,0
1022,1
1022,1
1022,2
1022,2
1022,3
1021,4
1021,6
1020,5
1020,4
1019,5
1019,4
1018,3
1018,3
1018,3
1018,2
1019,2
1019,2
1019,1
1019,2
1020,1
1019,1
1019,1
1019,1
1019,1
1019,1
1019,1
1019,3
1019,3
1018,3
1017,3
1017,4
1016,4
1016,4
1015,4
1015,4
1014,3
1014,4
1014,2
1015,2
1015,2
1015,2
1015,2
1015,0
1015,0
1015,0
1015,1
1015,1
1016,1
1016,0
1016,3
1016,2
1016,3
1016,4
1016,3
1016,4
1015,3
1015,4
1015,5
1015,6
1016,5
1016,9
1017,5
1018,3
1019,4
1019,5
1020,4
1020,2
1020,1
1020,3
1020,1
1020,1
1020,2
1020,1
1020,2
1020,2
1020,2
1019,2
1018,3
1018,2
1017,2
1016,2
1015,4
1015,3
1015,5
1014,5
1014,4
1014,3
1014,2
1014,1
1014,1
1013,1
1013,3
1013,1
1013,1
1013,2
1013,2
1013,1
1013,1
1013,1
1013,1
1012,1
1012,1
1011,2
1010,6
1009,2
1008,3
1008,4
1008,4
1008,5
1009,2
1009,2
1010,4
1011,2
1011,2
1011,2
1012,2
1012,1
1012,1
1013,1
1013,1
1014,1
1014,1
1014,1
1014,3
1014,2
1014,3
1014,2
1013,3
1013,3
1013,4
1013,4
1013,3
1013,3
1013,3
1013,2
1014,3
1015,3
1015,1
1015,2
1016,0
1016,0
1016,0
1017,0
1017,0
1017,1
1018,1
1018,1
1018,2
1018,2
1018,3
1017,2
1017,3
1016,3
1016,3
1016,2
1015,1
1015,1
1015,1
1015,1
1016,3
1016,1
1017,2
1017,0
1018,0
1018,0
1018,0
1019,0
1019,0
1020,1
1020,2
1020,3
1019,3
1019,2
1018,1
1018,2
1018,2
1017,1
1016,1
1016,3
1015,3
1015,3
1015,3
1016,1
1017,2
1018,2
1019,1
1019,2
1019,1
1019,2
1019,2
1018,2
1018,2
1018,2
1018,2
1018,2
1018,1
1017,1
1017,1
1017,1
1016,2
1016,1
1015,2
1014,2
1014,1
1013,1
1013,1
1014,2
1015,2
1015,2
1016,2
1015,3
1015,2
1015,3
1015,3
1015,3
1015,1
1016,1
1016,1
1016,1
1016,2
1016,1
1016,1
1016,1
1016,1
1017,1
1017,1
1016,2
1016,3
1015,1
1014,2
1014,1
1015,1
1015,1
1015,2
1015,3
1014,1
1014,1
1014,1
1014,1
1013,1
1014,1
1013,1
1013,1
1013,1
1013,1
1013,2
1012,1
1012,2
1011,2
1011,2
1011,2
1010,1
1011,3
1011,3
1011,2
1012,3
1012,1
1012,1
1012,1
1012,1
1012,2
1013,1
1013,2
1013,1
1014,2
1014,2
1014,2
1014,2
1014,3
1014,4
1014,6
1015,4
1015,5
1015,5
1015,3
1015,4
1015,6
1016,3
1016,2
1017,2
1017,1
1017,1
1017,1
1018,1
1018,2
1019,2
1019,1
1019,3
1019,2
1020,3
1020,2
1020,2
1020,1
1020,1
1019,3
1018,4
1017,1
1016,3
1015,3
1015,2
1015,2
1015,4
1014,1
1015,1
1015,1
1015,1
1016,2
1016,1
1016,1
1017,2
1017,2
1018,2
1018,3
1019,4
1019,2
1019,3
1019,1
1019,3
1019,2
1018,3
1018,2
1017,2
1018,3
1017,2
1016,2
1016,3
1016,4
1017,2
1017,3
1017,3
1018,4
1018,3
1018,3
1018,4
1019,2
1019,5
1019,2
1020,1
1020,2
1020,2
1020,2
1021,3
1020,2
1020,2
1020,3
1020,1
1020,2
1020,4
1020,4
1021,3
1021,2
1022,2
1022,3
1022,2
1022,3
1022,2
1022,1
1022,1
1022,0
1022,1
1022,2
1022,1
1022,1
1021,2
1020,2
1020,3
1020,3
1018,4
1017,3
1017,4
1016,3
1015,3
1015,5
1015,3
1015,4
1015,3
1015,2
1015,0
1015,0
1015,0
1015,0
1014,0
1015,0
1014,0
1015,0
1014,0
1014,1
1015,2
1014,2
1013,0
1013,2
1012,2
1011,2
1011,3
1011,3
1011,2
1011,4
1012,2
1012,3
1013,2
1013,1
1014,1
1014,1
1013,0
1012,0
1012,0
1012,1
1011,0
1011,1
1010,1
1010,1
1009,2
1008,1
1008,1
1008,2
1007,2
1007,2
1006,3
1006,2
1005,2
1005,2
1006,2
1006,2
1007,1
1007,2
1006,1
1006,1
1006,1
1005,1
1004,0
1004,0
1004,0
1005,1
1006,1
1006,3
1007,3
1008,2
1009,4
1010,4
1011,2
1012,6
1013,5
1013,4
1014,4
1014,2
1015,3
1015,3
1015,2
1015,1
1015,2
1015,1
1015,1
1014,1
1014,1
1014,2
1014,2
1013,2
1013,2
1013,3
1013,5
1012,4
1012,2
1011,3
1011,3
1011,3
1012,5
1012,1
1012,2
1012,2
1012,2
1012,2
1012,1
1012,1
1012,1
1012,2
1012,1
1012,1
1012,2
1011,1
1011,2
1011,1
1012,4
1012,3
1012,2
1012,1
1012,1
1012,3
1012,2
1012,2
1012,7
1012,4
1013,2
1013,1
1013,1
1014,1
1015,1
1015,1
1015,1
1016,1
1016,1
1016,1
1016,1
1017,1
1017,1
1017,1
1017,1
1018,2
1018,2
1017,1
1017,3
1018,2
1016,3
1016,4
1015,1
1015,2
1015,4
1015,4
1015,4
1015,3
1016,3
1016,2
1016,1
1017,1
1017,2
1017,1
1017,1
1017,1
1017,1
1018,1
1018,1
1018,1
1018,1
1018,2
1019,1
1019,2
1019,2
1019,2
1019,1
1020,3
1020,2
1020,4
1021,3
1021,3
1021,1
1022,3
1021,2
1021,1
1021,1
1021,2
1022,2
1022,2
1021,2
1022,2
1022,2
1021,2
1021,2
1021,2
1021,3
1021,2
1021,1
1021,1
1021,1
1021,2
1020,2
1020,2
1020,2
1020,1
1020,2
1020,1
1020,1
1020,1
1021,1
1020,0
1020,1
1020,1
1020,1
1020,1
1020,1
1020,1
1020,1
1020,1
1020,1
1020,2
1019,1
1019,2
1019,2
1019,2
1018,1
1018,2
1018,1
1018,2
1017,1
1017,1
1017,1
1016,2
1016,2
1016,2
1015,2
1015,2
1015,2
1015,2
1014,3
1014,2
1014,2
1014,3
1013,2
1014,3
1014,3
1013,3
1014,2
1014,4
1014,3
1014,2
1014,2
1015,2
1015,1
1016,1
1016,2
1016,2
1017,1
1016,3
1017,4
1017,2
1017,2
1018,2
1018,2
1018,2
1019,2
1019,4
1019,2
1020,2
1020,2
1020,1
1020,1
1020,2
1020,3
1020,2
1020,1
1020,1
1021,2
1021,1
1021,1
1021,1
1022,2
1022,2
1022,2
1022,2
1022,2
1022,2
1022,1
1022,0
1022,1
1022,3
1022,1
1021,3
1021,1
1020,1
1021,2
1020,1
1020,1
1020,1
1020,2
1020,0
1020,2
1020,1
1020,0
1021,3
1021,2
1021,0
1021,2
1021,0
1021,0
1021,1
1022,3
1022,1
1022,2
1022,1
1022,4
1021,3
1022,1
1020,3
1019,4
1019,3
1018,4
1017,4
1017,4
1017,4
995,1
1017,2
1017,2
1016,3
1016,2
1016,1
1015,0
1015,0
1015,2
1015,2
1015,3
1015,3
1014,2
1014,3
1014,4
1014,3
1014,3
1014,3
1014,4
1014,4
1013,3
1014,4
1014,3
1015,3
1015,2
1016,3
1017,1
1017,1
1017,1
1017,1
1018,0
1018,0
1019,0
1019,1
1020,1
1020,1
1020,1
1020,1
1020,2
1020,2
1020,4
1020,5
1020,4
1020,6
1020,4
1021,8
1021,4
1022,5
1023,5
1024,4
1024,2
1024,1
1025,4
1025,1
1025,1
1026,1
1026,2
1026,1
1026,3
1026,4
1026,3
1002,1
1002,1
1025,3
1024,2
1023,2
1023,4
1023,5
1022,5
1022,4
1022,5
1023,2
1023,4
1023,5
1023,3
1023,1
1023,3
1023,3
1024,0
1024,0
1024,1
1024,2
1024,1
1024,3
1024,1
1023,2
1023,4
1022,1
1023,5
1021,5
1021,6
1020,4
1020,4
1020,5
1020,4
1020,4
1020,5
1020,3
1020,2
1021,3
1021,2
1021,2
1021,2
1020,1
1021,1
1021,1
1021,2
1021,3
1020,2
1020,3
1019,2
1018,4
1018,3
1018,4
1018,6
1017,5
1017,7
1017,4
1017,3
1017,2
1017,3
1017,2
1017,1
1018,2
1018,2
1018,2
1018,2
1018,2
1018,2
1018,2
1018,2
1018,3
1017,2
1017,3
1017,4
1016,5
1016,9
1015,6
1014,4
1014,4
1013,5
1013,4
1012,5
1013,4
1013,2
1013,3
1013,3
1012,2
1012,1
1012,2
1012,2
1012,2
1012,1
1012,3
1012,1
1012,2
1011,2
1011,2
1010,3
1010,3
1009,3
1009,3
1008,3
1009,4
1008,5
1008,3
1011,1
1011,3
1012,2
1013,2
1014,2
1014,2
1014,1
1014,1
1014,2
1015,1
1018,1
1023,1
1015,2
1016,1
1016,2
1016,1
1016,3
1016,2
1015,2
1015,3
1015,1
1014,3
1014,3
1014,3
1014,3
1015,3
1016,3
1016,2
1017,2
1017,2
1017,2
1018,3
1018,1
1018,2
1018,0
1018,1
1018,2
1018,2
1018,2
1018,2
1018,3
1018,3
1017,2
1017,2
1016,1
1015,1
1014,1
1014,1
1014,1
1014,4
1015,3
1015,2
1016,2
1016,2
1016,1
1016,1
1017,0
1017,0
1017,0
1018,1
1018,1
1018,1
1018,1
1018,1
1018,1
1018,2
1018,2
1018,3
1017,2
1017,2
1017,2
1017,4
1017,4
1018,4
1018,2
1018,3
1019,3
1019,3
1019,2
1019,4
1020,1
1020,0
1020,1
1021,2
1021,2
1021,1
1021,3
1021,4
1021,1
1020,5
1020,4
1019,5
1019,4
1017,4
1017,5
1017,3
1017,3
1017,5
1017,4
1017,4
1018,2
1018,1
1017,3
1019,0
1017,2
1017,1
1018,2
1018,1
1018,1
1018,1
